,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
7650,"There's a touch of sulfur that takes a few seconds to blow off. Once it does, this wine offers yellow rose, exotic fruit, peach and almond skin.",Italy,Grillo,85,13.0
3240,"A gentle wine, this has warm, fruity aromas, ripe red cherry and raspberry flavors, a soft texture and fine-grained tannins. Medium to full bodied and almost sweet in balance, it's easy to enjoy.",US,Cabernet Sauvignon,86,15.0
102857,"This beery bubbly, with its flinty fruit and mouth-puckering acidity, is fine for parties or using as a mixer. It definitely sparkles. But it’s not Champagne, no matter what Korbel chooses to call it.",US,Champagne Blend,82,14.0
65129,"Varois is a small enclave surrounded by Côtes de Provence vineyards. This wine, with its softness, touches of vanilla as well as the proper rich red fruits, is a gentle rosé, easy and ready to drink.",France,Rosé,87,
40280,"Rich and aromatic, this black label reserve displays excellent power and concentration. A dense core of cassis, licorice and espresso is brightened with vivid acidity, slowing fading through a long, smoky finish. Wait until 2016 for optimum enjoyment.",US,Syrah,92,60.0
107066,"Raspberry, plum and cherry aromas become more thin, cheesy and leathery with time. The palate is hard and narrow, with sheer flavors of generic raspberry and plum. Clacky and rough feeling on the finish.",Argentina,Cabernet Sauvignon,83,19.0
94718,"Reddish-pink and orange in color, this wine made from Cabernet Franc grapes works on every level, offering a taste of pomegranate and fresh-squeeed orange that keeps it dry and refreshing as it goes down. Given no time in new oak, it exhibits watermelon and cherry on the finish.",US,Rosé,91,28.0
56298,"A zesty, warm dark plum Primitivo rich in leathery coffee and jam and nestled in a wall of finely structured tannins. This is the kind of wine one can describe as having nice legs.",US,Primitivo,89,20.0
115924,"Nut, flint and apple skin aromas lead the nose. The palate is quite lean, showing mineral and bitter almond alongside racy acidity.",Italy,Friulano,85,15.0
58879,"A little soft and heavy on the nose, which conveys a sense of overripeness. In the mouth, it's not overly heavy but it is sort of chunky as flavors of apple and citrus brush up against mealy but then draw back to a fresher place. Finishes mild, with only a modicum of acidity. Drink soon for best results.",Chile,Sauvignon Blanc,85,12.0
21724,"Almost over the top, this beautiful Barolo from the most celebrated cru of them all—the iconic Cannubi vineyard—delivers maximum pleasure and intensity. This is a soft and velvety wine, with cherry, cassis, leather, moist tobacco and licorice aromas over extracted concentration and tight tannins. The wine needs more time to age and once it does, it can be paired with beef or aged cheeses.",Italy,Nebbiolo,95,135.0
118393,"From an estate vineyard only six miles from the ocean, this wine is steeped in coolness, from its sharply tuned pomegranate and tart cranberry to its mushroomy, damp earth tones and savory spice. Refined and light to medium bodied, it picks up a tight-grained, oaky, leathery intrigue on the finish.",US,Pinot Noir,90,50.0
93378,"Very focused Key-lime aromas meet with strongly earthy, wet-clay scents on the nose of this wine that also offers a subtle minty kick. The palate is citrus-driven, with kumquat and tangerine flavors that give way to a warmer cream element before settling on a tense pink-grapefruit pith element.",US,Chardonnay,93,36.0
88206,"Icarus, in Greek myth, got too close to the sun. So did this wine from Icaria. It's not bad, but simply overripe. Has a sweet taste of raisins, in addition to the sweet smokiness from oak. Drink now.",US,Cabernet Sauvignon,85,28.0
54152,"An okay red wine. It's soft, dry and common in structure, with thin flavors of blackberries, spices and a touch of oak.",US,Cabernet Sauvignon,83,25.0
36781,This performed unevenly depending on the bottle. One bottle was rich and drenched in ripe fruit nuances and cheerful herbal notes but the next bottle had much greener tannins.,Italy,Syrah,86,16.0
38558,"Larner strikes a good balance at weaving Viognier's exotic side with controlled precision, resulting in a tight, dry and complex wine for drinking now. Acidity and minerality provide fine structure to the citrus, Asian pear and peach flavors.",US,Viognier,89,28.0
103633,"Easy to drink this blend of all five classic Bordeaux varieties, with Merlot predominating. It's all about cherries, blackberries, plum jam, currants and chocolate. Not particularly subtle or ageworthy, but very pretty.",US,Bordeaux-style Red Blend,87,32.0
847,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",France,Pinot Noir,90,33.0
65578,"Apples and crisp pears give this wine its intensely fresh character. It has bright acidity that shoots right through the wine, resulting in a tangy texture. Drink now.",Portugal,Arinto,85,9.0
672,"Similarly to it's Virgin Berry sibling, Roth's regular label Dry Riesling has a distinctly green, woodsy tone lending an alpine feel to sweet-tart peach and apricot flavors. It's brisk and fine-footed, yet zesty tangerine and grapefruit acidity persist long on the finish.",US,Riesling,90,26.0
53145,"Yellow peach, lemon, Asian pear and citrus peels show on the nose of this bottling by Matt Villard. It's very light and reserved on the palate, which is what makes it refreshing, with flavors of ripe nectarine, pan-seared apple and cider. A sizzle of acidity runs through it.",US,Viognier,89,30.0
27317,"With classic raspberry, cherry and sandalwood flavors, wrapped into a delicately crisp mouthfeel, this is a classic Russian River Pinot for drinking now. Everything about it suggests beef, whether it's in a taco or a full-fledged steak.",US,Pinot Noir,89,28.0
20265,"A lively, open, crisp wine, ready to drink, with a fresh apple and cream flavor complementing its flavors of pineapple and herbaceous edge. Delicious, easy Sauvignon Blanc.",France,Sauvignon Blanc,87,25.0
77662,"Aromas of smoke, char and spice entice the nose of this zippy, medium-bodied Lemberger. The palate is crisp, offering tart black cherry and blackberry flavors fringed delicately with tannins. Finishes long, with a delicate floral note.",US,Lemberger,88,18.0
98430,"With its inky black color and intense, dense aromas of black fruits, leather, spice and herbs, Almirez is a poster child for Toro. The palate is firm but offers cushion, while flavors of toast, wood, roasted berry, cassis and licorice finish long, wild and leathery. Drink through 2019.",Spain,Tinta de Toro,92,25.0
125928,"Deep berry aromas combine seamlessly with sweet notes of marzipan and complex accents of balsam wood on what is an inviting, rich nose. This is rewardingly bright and structured on the palate, where blackberry, boysenberry and plum flavors carry onto a full, long finish. This is high-end, ripe Malbec. Drink through 2018.",Argentina,Malbec,92,50.0
110292,"Year after year, Barefoot does a great job with Sauvignon Blanc. The wine is dry, mouthwateringly crisp in acidity, and appealing in citrus, tropical fruit and gooseberry flavors.",US,Sauvignon Blanc,87,7.0
69864,"Apple and peach aromas are dusty and lightly tropical. With no oak, fruit is all you get in this Chardonnay; flavors of apple, nectarine and melon run clean, sweet and ripe, while the finish is mellow and lands smack in the middle of the fairway.",Chile,Chardonnay,86,10.0
19849,"Boysenberry aromas and blackberry jam flavors fill this Bordeaux-style red blend to the brim, while a smooth texture and touch of sweetness make it an easy sipper. A great pairing for spicy Korean barbecue.",US,Red Blend,87,20.0
104743,"Pepper, lavender, cranberry and iodine aromas lead the nose of this easy-drinking blend of 41% Petit Sirah, 40% Syrah, 10% Mourvèdre and 9% Grenache. The palate is tense and tart, its dried red fruit melding with graphite, nori and black pepper flavors.",US,Red Blend,88,17.0
86263,Candied black cherry and blueberry notes are accented by ginger on this slightly confected wine. The monotone red cherry palate leads to a hint of bitter tannins on the finish.,US,Chelois,83,20.0
59136,"This is fruity, fragrant and fresh. It has creamed pear and tangy orange flavors that are laced with bright acidity. The crisp lime note gives a final refreshing burst.",France,Pinot Blanc,85,
443,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",US,Zinfandel,88,32.0
23101,"Unoaked Chardonnays can be fairly neutral, but this one is anything but. Creamy and textural, it's laced with mixed flavors of grapefruit, gooseberry, lime and lemon zest. Delicious on its own, or pair it with gently seasoned seafood or poultry.",US,Chardonnay,88,10.0
90177,"Grace and elegance mark this Pinot, and so does plenty of power. It shows concentrated raspberry essence, cherry tart and drier, tart cranberry flavors, with oak adding richer, sweeter notes of buttered toast. Brisk acidity and soft tannins provide structure. Beautiful now, and should continue to develop over the next 6–8 years.",US,Pinot Noir,92,36.0
99783,"A blend of Cabernet Sauvignon (55%), Merlot (36%) and Petit Verdot from the Seven Hills and Loess vineyards, aromas of dried high-toned herb, cocoa and barrel spice intermingle on a wine that has yet to fully reveal its charms. The palate offers cranberry and dark-cherry flavors that create an exquisite sense of freshness and balance.",US,Bordeaux-style Red Blend,91,75.0
8739,"Composed of Sangiovese, Sagrantino, Merlot and Montepulciano, this offers pretty tones of spice and wild berry, with background tones of tobacco and worn leather.",Italy,Red Blend,87,
21775,"A little strange and unusual on the nose, with a mix of grass, citrus and corn-like aromas. The palate is wayward and slightly citrusy, with a hint of grapefruit and also some vegetal flavors. Pretty good mouthfeel and acidity keep it afloat, but overall it's not going to win over too many fans.",Spain,White Blend,82,10.0
55818,"Made from Caladoc, a grape variety created in 1958 by crossing Grenache and Malbec, this medium-bodied rosé is restrained in style, with ginger and citrus notes accenting strawberry fruit. It's dry and refreshing on the finish. Drink now.",France,Rosé,88,17.0
18657,"Poggio Nardone delivers a thick and succulent Brunello with ripe notes of forest fruit and blackberry backed by spice and tobacco leaf. The wine is dense, creamy and ends with a note of sweetness followed by lingering smoke and spice.",Italy,Sangiovese Grosso,92,
1142,"Aromas like green apples and lemons, and herbal flavors make this wine refreshing and balanced toward the lean side. It's rather light bodied and crisp in texture.",US,Chardonnay,84,13.0
50276,"This is a quietly intense wine with a good, deep color, nice aromatics like black plums, and tasty prune flavors. Not too full bodied and supported by taut tannins, it has an almost chewy texture and lingering finish.",US,Carignane,91,19.0
5915,"Pleasing aromas of cocoa, bittersweet chocolate, dried herbs and plum lead to black-currant flavors that display a reserved styling. A light grip of tannins provides the frame.",US,Cabernet Sauvignon,88,16.0
7456,"Cherry and raspberry aromas are also stalky and gamy, a likely reflection of the 75% Syrah in this blend with Garnacha. A hard, grabby palate holds flavors of herbal plum and grape skins, while an obtuse finish tastes a little green.",Spain,Red Blend,86,15.0
103621,"This is the winery's Graves-style Sémillon-Sauvignon Blanc blend. It's smoothly textured and a little soft, with citrus, herb and spice flavors that finish with a touch of toasty oak.",US,Bordeaux-style White Blend,87,25.0
103535,"Chopped herb, pine, forest floor and balsamic notes follow through to the palate, rich in vibrant red cherry, cranberry, star anise and white pepper notes. It's still tightly wound, with compact tannins and fresh acidity. Give it time to develop more depth and complexity. Drink 2022–2032.",Italy,Sangiovese,91,108.0
94213,"In this big proprietary blend, winemaker Kirk Venge pits 70% Zinfandel and 14% Petite Sirah against 11% Charbono, a rare find in the Napa Valley, and 5% Syrah. The results are complex in deep cherry and milk chocolate, with plenty of grip and drinkable tannins, the finish soft and rich. This wine delivers a great value for the quality.",US,Red Blend,92,38.0
11532,"A good Pinot Noir for everyday drinking. It's very dry and crisp and silky in the mouth, with complex flavors of cherries, cola, licorice and beef jerky. The acidity suggests rich, oily fare, like lamb or salmon.",US,Pinot Noir,86,25.0
24233,"A beautiful wine, it shows exquisite control at balancing green, minty notes with richer flavors of apricots, Meyer lemons, vanilla and toast. The finish is dry and tart.",US,Sauvignon Blanc,90,20.0
52439,"Mushroom aromas signify the maturity of this wine. It is now smooth, ripe and rich, while also very dry. Firm tannins are integrated, allowing plenty of room for the black fruits to register. There is no need further to age this juicy wine.",France,Tannat,90,35.0
9745,"White spring flower and apple aromas lead the way on this enjoyable white. The soft fresh palate doles out ripe Bartlett pear, citrus and a hint of mineral that lifts the finish.",Italy,Pinot Grigio,89,
94390,"Tightly wound on the nose at first, this blend of 50% Cabernet Sauvignon, 25% Merlot, 13% Malbec and 12% Petit Verdot opens slowly to show blackberry, anise and baking spice on the nose. The palate offers boysenberry, slate, oregano and bay leaf, wrapped in decent tannins and acidity. Patience will allow this wine to come into its own.",US,Bordeaux-style Red Blend,90,70.0
84788,"structured Brunello, it opens with aromas of forest floor, black berry, crushed flowers and mint. The palate delivers restrained wild cherry accented with clove and Mediterranean spices alongside bracing, tightly knit tannins that need to unwind. Drink 2016–2021.",Italy,Sangiovese,89,
5385,"Creamy aromas of vanilla cookies and melon lead to a plump palate with just enough vital acidity to keep things fresh. Citrusy flavors lean toward clementines and grapefruit, while the finish is peachy but  also pithy in flavor.",Argentina,Pinot Grigio,85,13.0
107890,"87-89 Firmly structured, dense tannins and wood, leaving the fruit behind. Extraction is a problem here.",France,Bordeaux-style Red Blend,88,
39989,"Simple and a little sweet, this Cab shows very ripe, jammy flavors of blackberries, cassis and cola. It's an easy sipper, with a pleasant scour of tannins.",US,Cabernet Sauvignon,84,13.0
64309,"Castello Banfi in Tuscany does a great job with Chardonnay, as evidenced by this wine. It's rich and soft, with bright aromas of peach, citrus, vanilla and savory herb. A pinch of acidity on the finish works beautifully as well.",Italy,Chardonnay,90,19.0
127941,"Cherry cough drop and other red fruit, medicinal aromas set up a standard, fresh palate with racy berry flavors and mild oak as a backdrop. Finishes with good smack, feel and controlled wood notes, but not much complexity or finesse.",Chile,Merlot,86,9.0
93573,"Earth, leather and tarry berry aromas yield to a fresh, forceful palate with power and balance. Spicy plum and berry flavors are a touch herbal and pointed, while a peppery, woody, spicy finish is leathery, hot and scratchy. Drink through 2018.",Chile,Carmenère,90,50.0
31723,"Full-bodied aromas of vanilla, ripe blackberry, spice and cinnamon lead this assertive red from Drama. Rich, spicy and savory on the palate, the wine has a nice balance of minerality and layered fruit. The finish has a smoky spin.",Greece,Red Blend,88,24.0
105526,"Luscious stone-fruit notes on the nose suggest ripeness and opulence. The palate speaks with that same generous fruit but holds a tight fresh grip that unites mirabelle, crisp green apple, bright citrus and yeasty richness. This is a beautifully balanced expressive wine with fine creamy fizz that is lovely now but will also reward laying down. The finish is long and deliciously dry and fresh. Drink 2017–2022.",France,Sparkling Blend,92,29.0
33316,"A bit on the sugary side, making it not truly dry, but adequate acidity provides balance to the very rich pineapple, pear, fig and honeysuckle flavors. Great with Vietnamese or Chinese fare.",US,Sauvignon Blanc,84,22.0
129306,"This is sourced from old vines, and brings typically intense, phenolic aromatics in a dry, extended and lingering style. Citrus-rind scents and dried-apple flavors abound, and it's textural and persistent, though not what you'd call fruity. The length and development are its best attributes.",US,Riesling,90,22.0
63180,"One of the most ripe, opulent and unctuous of the Anderson Valley wines, this full-bodied bottling smells and tastes like cinnamon, cherries, milk chocolate and brown sugar, but not as sweet as that sounds. The texture is very broad and mouth-coating and the alcohol feels on the high side, giving a feeling of power with polish.",US,Pinot Noir,92,82.0
953,"This new “i” series offering mixes brambly strawberry fruit with granular tannins. It's ready to drink, dappled with cinnamon, and leaves a slightly medicinal aftertaste in the back of the mouth.",US,Pinot Noir,87,38.0
58553,"Fazi Battaglia's amphora-shaped bottle is a museum worthy legend of Italian design. The contents, on the other hand, express simplicity and ease. This is a no-fuss wine that, over the years, has proudly adorned the checkered tablecloths of neighborhood trattorias all over Italy. Linear and compact, aromas include jasmine, peach blossom and dusty mineral.",Italy,Verdicchio,85,13.0
84283,"The four fingers of land that stick out over the Layon Valley in the Chaume appellation are immensely propitious for the formation of botrytis in the autumn mists. This wine with its opulent honey and spice character is the result. It is full of yellow fruits, while keeping freshness that lifts the richness of the wine. This wine is still very young, don't drink before 2022.",France,Chenin Blanc,94,65.0
123053,"This wine is principally Syrah, Cabernet Sauvignon and Merlot, with the balance other Bordeaux varieties. Aromas of clove, sweet plum, vanilla and tire rubber lead to sweet, palate-coating blueberry and smoke flavors that linger.",US,Red Blend,88,20.0
87935,"Aromas of overripe, slightly bruised red apple, ale and apple skin are at the fore. It brings a spritz to the off-dry apple-juice flavors, seeming to have not fully settled into the glass.",US,Chenin Blanc,85,15.0
2364,"The small enclave of Buzet makes wines in a Bordeaux style, with black currant fruitiness and some firm tannins. This wine, now aging well, shows ripe juicy fruits, a solid dry core and refreshing, crisp acidity at the end.",France,Red Blend,88,20.0
66277,"Raspberry and cherry fruit flavors flood the mouth on this Zin, making it instantly delicious. The superripeness shows on the finish, where chocolate-covered raisin notes show up. With complex, gentle tannins and some heat from alcohol, it's drinking well now.",US,Zinfandel,88,35.0
107817,"This straightforward, well-balanced, medium-bodied wine has everything in place for the lunch or dinner table. Aromas and flavors resemble red cherry, cranberry and light spices, while the body is not too light or too full. The texture is tangy and a touch tannnic while staying smooth.",US,Pinot Noir,88,20.0
18095,"Ame means the spirit, the soul, and Alain Rotier believes this wine expresses the true nature of his Gaillac estate. On that basis, it's a place of great perfumes, coming through in the wine from wood as well as chunky black fruits. It is a relatively soft wine, the concentration in the dense fruit rather than the tannins.",France,Duras,91,40.0
24482,"This bold red wine works its magic by offering hearty helpings of yeasty brioche, baked, stewed plum, black pepper and clove, remaining varietal and unabashed in its hold on the ripe vintage and sun-kissed appellation. Integrated, the tannin imprint is sizable, yet well managed.",US,Merlot,90,23.0
63643,"Floral in jasmine and apple blossom, this wine offers a solid foundation of baked apple and sizable oak, still youthfully wound up in concentrated richness. Moderate acidity helps keep things in check, as lengthy complexity comes to bear on the finish.",US,Chardonnay,88,25.0
107508,"This is a tight, mineral-driven wine with fresh acidity and a crisp character. Sémillon dominated, it conveys green fruits, bright acidity and a lively, tangy aftertaste. The wine is refreshing, fruity and ready to drink. Nicolas Thienpont and his brothers bought this 16-acre property in 1988.",France,Bordeaux-style White Blend,87,20.0
65889,"Pretty aromas of blue flowers, red berry and dark cooking spices lead the nose on this straightforward red. The bright, savory palate doles out wild cherry, cassis, clove and a dash of white pepper alongside silky tannins and fresh acidity. It's easygoing and made to be enjoyed young.",Italy,Cabernet Franc,88,30.0
2363,"Intensely concentrated in black currants, cassis liqueur and oak aromas and flavors, this Cabernet is so strong, it's practically undrinkable now. It's not just the potent tannins and bright acidity, it's the raw, jammy quality of the fruit. All these elements could begin to come together after 2017.",US,Cabernet Sauvignon,88,75.0
97699,"A touch of wood helps the wine's light fruit to deepen and become richer. The wine is well balanced, with fresh acidity giving a good lift.",France,Bordeaux-style Red Blend,85,15.0
39306,"Rich, ripe and concentrated, the lush array of black fruits is enhanced with a generous amount of barrel-generated baking spices. There's a chef's pantry of cinnamon, ginger and more, along with a vein of molasses and a whiff of coffee running through the tannins. It's a total yum-fest.",US,Cabernet Sauvignon,94,30.0
80147,"Saturated raisiny aromas include notes of clove and nutmeg. This is huge and also tartaric in feel. Baked raisiny flavors are chocolaty, while savory, leathery notes add complexity to a hard, tannic finish.",Argentina,Malbec,88,35.0
32800,"Always an eye-opening bottling, this blends 50% Sangiovese with 50% Syrah. This vintage shows cooked blackberries, baked plums, balsamic vinaigrette and black rocks on the nose. The palate is juicy and energetic, blending dark fruit with bright acidity, coffee and caramel flavors, with strong tannins for structure.",US,Sangiovese-Syrah,90,66.0
11484,"Nicolas Potel's entry-level Burgundy is an elegant, fruity wine, with soft tannins, rich strawberry fruit and a ripe feel. It is ready to drink.",France,Pinot Noir,87,22.0
127613,"Light and spicy, this deceptively robust, ripe cherry-cola wine lingers in acidity and a roundness of tannin that makes it both lush and plush, yet balanced. The oak is supportive without being intrusive.",US,Pinot Noir,90,59.0
62044,"A nicely balanced red blend, this is high toned with smooth tannins and dark cherry and plum flavors amid a twist of black licorice. A fine wine for a crowd or easy mid-week drinking.",US,Red Blend,86,10.0
76921,"This Cab shows how ripe the Happy Canyon area can get grapes even in a cool vintage. The wine brims with red cherry, currant and licorice flavors that are, in a word, delicious. It's adequate in acidity, but is a little candied. Drink now.",US,Cabernet Sauvignon,87,54.0
58358,"This is a pinnacle of the modern style of winemaking in Napa Valley. The tannins are strong but not aggressive. The acidity is just enough to provide balance for the tremendously rich blackberry, black currant, Kahlua and olive flavors. The oak is powerful, but the wine wears it easily. The finish is thoroughly dry, long and spicy. And although the alcohol is high, it's not impossible. You can drink it now, although the tannins could benefit from 6–8 years in the cellar.",US,Cabernet Sauvignon,96,275.0
41632,"A clean, crisply elegant Sauvignon Blanc. Shows a fancy structure of tart acidity framing dry, mouthwatering flavors of Meyer lemons, limes, lemongrass, figs and vanilla. Very pretty and polished.",US,Fumé Blanc,89,24.0
64560,"Merlot has long been Waterbrook's strong suit, and this offers the expected seamless blend of cherry/berry fruit, softly polished tannins and toasty barrel flavors. What are missing—at least for the moment—are the grace notes. Give it plenty of breathing time and you begin to detect traces of spice and earth, finishing with a lick of chocolate.",US,Merlot,87,22.0
125776,"An exceptional wine. Fragrant, with plenty of plum, black cherry, cedar and spice aromas. On the palate, it's silky smooth, elegant and fresh, yet packed with complex layers of blackberry, cassis, chocolate, coffee, anise, sage, thyme and cherry flavors. Marked by an exquisite textural elegance and harmonious balance, it displays a fine blend of firm, supple tannins and appropriate acidty that support great length on the finish.",US,Red Blend,96,200.0
109918,"This wine is supremely pretty, inviting in rose petals and violets. Sourced from Oakville Ranch Vineyard and Vineyard Georges III in Rutherford, it deserves its own bottling. Generously soft and complex, it offers a deftness of black cherry, clove and cedar married expertly together.",US,Cabernet Sauvignon,93,125.0
72567,"This dry wine delivers aromatic complexity, firm tannins and solid fruit flavors for an appetizing balance. It smells like raspberries and cedar, tastes like cranberries and raspberries, and finishes with a nice touch of astringency.",US,Primitivo,89,33.0
104728,"Scents of roasted nuts and apples gain levity on the palate with flavors of lemons and delicate white flowers. Richly textured, this has a slightly-viscous but refreshingly-fruity profile.",US,Chardonnay,85,28.0
29622,"This is a good wine, but it's not on a par with previous vintages, which probably was the result of the unusually cool summer. The wine tastes simple, with delicious but one-dimensional licorice, sweet, softened cola and blackberry jam flavors.",US,Syrah,86,36.0
58584,"With smoky, ashy aromas and soft, slightly sweet medicinal flavors of cherries, root beer and vanilla oak, this Pinot might improve with age, but is currently a bit simple.",US,Pinot Noir,85,36.0
108822,"Crisp starfruit and citrus notes shine brightly throughout this refreshingly spry white. It's delicate in concentration but irresistibly quaffable, marked by a spray of salinity on the finish.",US,Chardonnay,87,15.0
54428,"Aromas recall red berry, toast and savory herb. The palate delivers sour cherry, oregano and beet alongside firm tannins that leave a drying finish.",Italy,Pinot Nero,88,68.0
56928,"Here's a well-priced Pinot Bianco would make a great aperitivo choice to pair with salmon canapés or bruschetta. The wine opens with citrus, stone fruit and shows a drying note of talc powder as well.",Italy,Pinot Bianco,87,15.0
84767,"This well-structured white boasts an alluring bouquet that recalls beeswax, acacia flower and stone fruit. The polished palate offers juicy yellow peach, green apple and a honey note.",Italy,White Blend,89,25.0
28597,"Mildly pickled red-fruit aromas fail to convey freshness or ripeness, and so it's no surprise that the core flavors are a bit herbal and briney. Decent mouthfeel helps it along, while the finish is short and borders on medicinal.",Argentina,Cabernet Sauvignon,83,12.0
110854,"This small-production wine features light but potent aromas of lychee, orange, honey, wild flowers and spice. It's fairly lean and elegant on the palate, with exotic spice and tropical fruit flavors. Short and pithy on the finish but nice for Chilean Gewürztraminer.",Chile,Gewürztraminer,87,20.0
112446,"This is an extraordinary, golden dessert wine with intense and penetrating notes of honey, marron glacé, dried apricot, marzipan, candied lemon, dried mint and jasmine. It's smooth, rich and long lasting in the mouth. The wine has personality and power and boasts magnetic appeal across the board.",Italy,Moscato,94,29.0
75241,"A bright and fruity wine, with tannins restrained by red-berry fruits and acidity. It's a great food wine, cutting through rich, fatty foods with its texture and dry core. Drink now or enjoy over the next 4–5 years.",Portugal,Touriga Nacional,88,
113942,"A hint of burnt sugar persists from nose to finish on this bright, delectably juicy late-harvest Riesling. Its fruit profile progresses from delicate apple and lemon to concentrated yellow peach and nectarine. Razor-edged acidity keeps all the fruitiness in balance, finishing bright and brisk.",Germany,Riesling,90,28.0
46983,"This wine's oak and butterscotch aromas follow through to the lean palate, along with hints of toasted nut. Although linear and focused, it doesn't have enough fruit richness to stand up to the evident oak.",Italy,Pinot Grigio,86,35.0
125508,"This aromatic offering has notes of pear, peach and flowers. The apricot and other stone fruit flavors are medium bodied, simultaneously light and rich, giving the perception of sweetness leading to a lingering finish—an elegantly styled wine that walks the balance beam quite well.",US,Viognier,90,25.0
33462,"Yellow plums, juicy pear and ripe peach make for a fruitful, medium-sweet wine with lots of generosity, softness and warmth. Just enough freshness counters all the ripeness. Drink soon for maximum fruit.",France,Gewürztraminer,88,19.0
7106,"Hints of oak smooth out the inherent herbal character of the grape, yielding ripe tones of apricot and pineapple. This wine is ripe and fruity and ready to drink.",Portugal,Sauvignon Blanc,87,16.0
58544,"A rich, fruity wine with explosive blackberry and cherry jam, black currant, spicy plum and smoky cedar flavors. Direct and obvious now, but could develop bottle complexity over the next 4–6 years.",US,Bordeaux-style Red Blend,87,40.0
94212,"Powerfully built with nice depth, this is loaded with succulent black cherry sensations layered with underbrush, tobacco, licorice, black pepper, clove and mocha accents. The palate is balanced by firm, velvety tannins and fresh acidity. Hold for complexity. Drink 2016–2026.",Italy,Sangiovese,92,70.0
118453,"Elegant aromas suggest tar, prune, cherry preserves and mint. It's soft on the mouth with unfolding tannins, featuring flavors of Italian herbs and cedar. It's a very austere and extremely dry wine, with very little overt fruit.",US,Bordeaux-style Red Blend,89,39.0
118432,"Mature plum, aromatic herb and a whiff of cocoa lead the nose. The dense palate offers toasted oak, blackberry extract and espresso alongside fine-grained tannins that leave a firm, drying finish.",Italy,Nero d'Avola,87,14.0
94115,"Dal Forno delivers one of the world's most impossibly rich and concentrated red wines. Using grapes sourced from the high-density Monte Lodoletta vineyard, this inky, dark expression oozes with syrupy tones of maraschino, dark chocolate fudge, cinnamon spice, crushed clove and barbecue smoke. In keeping with the wine's legendary reputation for long aging potential, the tannins are rock solid at the moment.",Italy,"Corvina, Rondinella, Molinara",95,530.0
88821,"Forward, ripe and full bodied, this most pleasurable Pinot Gris is drinking quite well, with fresh fruit flavors of pear and melon. Moderate acidity is just sufficient to keep the fruit from becoming too flabby. The wine was vinted and bottled by Lujon.",US,Pinot Gris,88,20.0
126168,"Though it's been held back since being bottled, this remains tight and closed. Suggestions of strawberry and chocolate come up from a firm and compact body, with plenty of acidity and hints of green olive and coffee grounds. Aerate, decant, and/or cellar this wine.",US,Barbera,88,25.0
53821,"There is plenty of acidity in Sylvaine and Yannick Fournier's wine as well as ripe red-currant and spice flavors. The streak of crispness goes right through, lively and tight with a tangy, almost New World aftertaste. Drink from late 2016.",France,Bordeaux-style White Blend,86,20.0
128850,"This wine backs up the price tag with a fruit-forward nose showing blackberry, black cherry, dried mint and tarragon. The palate is more tart, with dried sour cherries, espresso-bean bitterness, lava rocks and graphite. It's surprisingly both dark and lean, offering solid complexity.",US,Cabernet Sauvignon,92,168.0
29424,"The wine has plenty of juicy red fruits as well as a firm structure. It is on the fresh fruity side, with red currant and berry flavors. The acidity is very present, needing to calm down to become really drinkable. Wait until 2018 to drink.",France,Bordeaux-style Red Blend,88,
1112,"Dense almost to the point of chewiness, this is a concentrated blend of Syrah, Carignan and Grenache. Earthy, plummy notes pick up hints of dark chocolate and licorice before ending rich and velvety.",France,Rhône-style Red Blend,90,17.0
36996,"From this famous old mountain vineyard, a dense and concentrated Zin that blows you away with deliciousness. It's very dark and young, with a flair of acidity and sweet tannins, and blackberry, cassis and mocha flavors that finish with a superripe raisiny note. But that slight Portiness is a seasoning element, and does not distract.",US,Zinfandel,92,30.0
98588,"This dense and concentrated Amarone offers an intense bouquet of marinated cherry, blackberry and tobacco. The palate delivers rich flavors of blackberry, prune, licorice and a touch of carob, along with round tannins and soft acidity. It has layers of flavor and nice depth. Drink through 2017.",Italy,Red Blend,92,60.0
96667,"This full, ripe wine is rich with strawberry and red plum fruit. It's weighty on the palate with flavors of orange zest and a touch of spice. Brisk acidity cuts through the palate adding freshness on the finish.",France,Rosé,87,12.0
104496,"Crisp upon entry, this wine evolves into a thicker, richer style of texture and ripe flavor, with a depth of caramel streaking through baked apple and pear compote with a medley of melon. It satisfies in its full-bodied generosity.",US,Chardonnay,88,25.0
65358,"This is one of Failla's riper, fruitier 2012 Pinots. Classic Sonoma Coast Pinot, with brisk acidity and complex flavors, it shows wild raspberry, cherry and blueberry fruits, persimmons, cola, and earthier notes of sautéed wild mushrooms and truffles. It's dry, tannic and tart, but as good as it is now, it will improve by resting until 2020.",US,Pinot Noir,95,52.0
101263,"This wine's nose is initially quite shy, releasing a whiff of Mediterranean herb with some air. The simple palate offers citrus and a saline flavors while crisp acidity gives it a fresh finish.",Italy,Fiano,86,
104099,"Aromas of tangerine zest, peach and flower are followed by dry clean fruit flavors that show no apparent oak influence, with citrus notes lingering on the finish.",US,Viognier,87,15.0
